Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
V/H/S/94,104,English,"After the discovery of a mysterious VHS tape, a brutish police SWAT team launches a high-intensity raid on a remote warehouse, only to discover a sinister cult compound whose collection of pre-recorded material uncovers a nightmarish conspiracy.",2021,"Horror, Thriller, Science Fiction","vhs, found footage, franchise, horror anthology","Brian Paul, Tim Campbell, Gina Phillips, Anthony Christian Potenza, Anna Hopkins","Ryan Prows, Jennifer Reeder, Simon Barrett, Chloe Okuno, Steven Kostanski, Timo Tjahjanto","AMC+ Amazon Channel, AMC+, Hoopla, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Bloody Disgusting, Raven Banner Entertainment, Radio Silence, Studio71, Hangar 18 Media, Shudder, Cinepocalypse",https://www.shudder.com/movies/watch/vhs94/c29d5b9347f378f8
Ghostbusters: Afterlife,124,English,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",2021,"Fantasy, Comedy, Adventure","small town, afterlife, ghostbuster, nostalgia, sequel, ghost, aftercreditsstinger, duringcreditsstinger, dead grandfather, ancient evil, otherworldly beings, paranormal events, father absence, ghostbusters","Paul Rudd, Bokeem Woodbine, Carrie Coon, Finn Wolfhard, Mckenna Grace",Jason Reitman,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Columbia Pictures, Bron Studios, The Montecito Picture Company, Ghost Corps",https://ghostbusters.com/
Palmer,110,English,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.",2021,Drama,"small town, homophobia, young boy, ex-con, house trailer, bullied, irresponsible parent, adult child friendship, guardianship, drug addict","Alisha Wainwright, Ryder Allen, Juno Temple, Justin Timberlake, June Squibb",Fisher Stevens,Apple TV Plus ,,,"SK Global Entertainment, Sidney Kimmel Entertainment",https://tv.apple.com/movie/palmer/umc.cmc.40qrv09i2yfh8iilyi4s8vfi
Army of Thieves,127,English,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,2021,"Action, Thriller, Crime, Comedy","europe, interpol, prequel, zombie, safecracker, bank teller","Nathalie Emmanuel, Guz Khan, Matthias Schweighöfer, Ruby O. Fee, Stuart Martin",Matthias Schweighöfer,"Netflix, Netflix basic with Ads ",,,"Pantaleon Films, The Stone Quarry, Film United",https://www.netflix.com/title/81185548
Mount Adams,94,English,UFO investigators find themselves fighting for survival as alien monsters hunt them on the slopes of Mount Adams.,2021,"Action, Adventure, Science Fiction",,"Emily Sweet, Tim Wade, Matthew O'Donnell, Allesondra Helwig, Phillip Wade",Phillip Wade,,"Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu ",Ambition Pictures,Unknown
The Monkey King: Reborn,95,Chinese,"When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…",2021,"Animation, Action, Fantasy, Family","kung fu, animation","Haiting Cai, Zhang Lei, Su Shangqing, He Zhang, Jiang Bian",Wang Yunfei,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",星皓影业有限公司,http://www.wellgousa.com/films/the-monkey-king-reborn
Infinite,106,English,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",2021,"Science Fiction, Action, Thriller","based on novel or book, secret organization, reincarnation, memories","Mark Wahlberg, Sophie Cookson, Jason Mantzoukas, Chiwetel Ejiofor, Rupert Friend",Antoine Fuqua,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","di Bonaventura Pictures, Closest to the Hole Productions, Leverage Entertainment, Paramount, New Republic Pictures",https://www.paramountmovies.com/movies/infinite
Cruella,134,English,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",2021,"Comedy, Crime","1970s, anti hero, villain, punk rock, fashion designer, fashion, origin story, live action remake","Joel Fry, Emma Stone, Mark Strong, Emma Thompson, Paul Walter Hauser",Craig Gillespie,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Walt Disney Pictures, Gunn Films, Marc Platt Productions",https://movies.disney.com/cruella
A Quiet Place Part II,97,English,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",2021,"Science Fiction, Thriller, Horror","island, post-apocalyptic future, radio transmission, alien life-form, death of father, child in peril, sequel, alien, flashback, psychological thriller, creature, alien invasion, parenting, family, survival horror, alien monster, human vs alien, sign languages, alien attack, hearing impaired, newborn baby, new york","Emily Blunt, Noah Jupe, John Krasinski, Millicent Simmonds, Cillian Murphy",John Krasinski,"Hulu, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Paramount, Platinum Dunes, Sunday Night",https://www.aquietplacemovie.com
Girl in the Basement,88,English,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",2021,"Thriller, Crime, TV Movie","imprisonment, based on true story, basement, controlling parent","Stefanie Scott, Judd Nelson, Joely Fisher, Kim Rosen, Braxton Bjerken",Elisabeth Röhm,"Hulu, Hoopla, Lifetime Movie Club, A&E Crime Central Apple TV Channel, Lifetime Movie Club Apple TV Channel, Lifetime Movie Club Amazon Channel ","Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Amazon Video ,"Big Dreams Entertainment, Swirl Films",Unknown
Godzilla vs. Kong,114,English,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",2021,"Action, Science Fiction, Thriller","giant monster, dinosaur, creature feature, kaiju, sign languages, giant ape, godzilla, monsterverse, robot dinosaur, king kong","Brian Tyree Henry, Kaylee Hottle, Millie Bobby Brown, Alexander Skarsgård, Rebecca Hall",Adam Wingard,"Max, Max Amazon Channel, TNT, TBS, tru TV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Legendary Pictures,https://www.warnerbros.com/movies/godzilla-vs-kong
Stillwater,139,English,"Bill Baker, an American oil-rig roughneck from Oklahoma, travels to Marseille to visit his estranged daughter, Allison, who is in prison for a murder she claims she did not commit. Confronted with language barriers, cultural differences, and a complicated legal system, Bill builds a new life for himself in France as he makes it his personal mission to exonerate his daughter.",2021,"Drama, Crime, Thriller","marseille, france, fish out of water, father daughter relationship","Abigail Breslin, Lilou Siauvaud, Matt Damon, Camille Cottin, Deanna Dunagan",Tom McCarthy,Showtime Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store, FlixFling, Spectrum On Demand ","Participant, DreamWorks Pictures, Slow Pony, Anonymous Content, 3dot Productions, Supernatural Pictures",https://www.focusfeatures.com/stillwater
Mortal Kombat,110,English,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",2021,"Action, Fantasy, Adventure","saving the world, magic, ninja fighter, alternate dimension, shaolin monk, fighting, based on video game, martial arts tournament, gods, hand to hand combat","Mehcad Brooks, Jessica McNamee, Josh Lawson, Lewis Tan, Ludi Lin",Simon McQuoid,"Max, Max Amazon Channel, TNT ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Atomic Monster, Broken Road Productions, New Line Cinema",https://www.mortalkombatmovie.net
Spirit Untamed,88,English,Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,2021,"Animation, Adventure, Family, Western","horse, mustang, female protagonist, animal, wild horse, reboot, 3d animation","Mckenna Grace, Marsai Martin, Julianne Moore, Walton Goggins, Isabela Merced",Elaine Bogan,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Universal Pictures, DreamWorks Animation",http://www.dreamworks.com/movies/spirit-untamed
The Vault,114,English,"Madrid, Spain, 2010. While the whole city follows the national team's successful participation in the World Cup, a group of daring thieves look for a way into one of the most secure and guarded places on the planet.",2021,"Drama, Action, Thriller","madrid, spain, world cup, heist, bank vault, treasure hunter, treasure heist","Liam Cunningham, Freddie Highmore, Sam Riley, Astrid Bergès-Frisbey, Jose Coronado",Jaume Balagueró,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Ciudadano Ciskul, Telecinco Cinema, Think Studio, TF1 Studio, Mediaset España, Movistar+, Marrowbone",https://www.sabanfilms.com/films/the-vault
The Suicide Squad,132,English,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",2021,"Action, Comedy, Adventure","monster, secret mission, superhero, anti hero, giant monster, gore, based on comic, alien, betrayal, alien invasion, convict, parasite, super villain, world domination, aftercreditsstinger, dc extended universe (dceu), muscular men, character deaths","Joel Kinnaman, Sylvester Stallone, Idris Elba, Margot Robbie, John Cena",James Gunn,"Netflix, Max, Max Amazon Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","DC Films, Atlas Entertainment, The Safran Company, Warner Bros. Pictures",https://www.thesuicidesquad.net
Zack Snyder's Justice League,242,English,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2021,"Action, Adventure, Fantasy","saving the world, superhero, resurrection, based on comic, superhero team, planet invasion, action hero, dc extended universe (dceu), superhero teamup, director's cut","Henry Cavill, Gal Gadot, Ben Affleck, Ezra Miller, Jason Momoa",Zack Snyder,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Warner Bros. Pictures, The Stone Quarry, Atlas Entertainment, Access Entertainment, Dune Entertainment, DC Films",https://www.hbomax.com/zacksnydersjusticeleague
Megaboa,100,English,"On a trip to Colombia, a group of college students encounter a fifty-foot boa constrictor, hungry for blood.",2021,"Action, Horror, Science Fiction",,"Garrett Schulte, Eric Roberts, Emilia Torello, Joe Herrera, Michelle Elizabeth O'Shea",Mario N. Bonassin,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","The Asylum, Emerald City Films",Unknown
Red Notice,118,English,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",2021,"Action, Comedy, Crime","fbi, interpol, cleopatra, heist, art thief","Dwayne Johnson, Chris Diamantopoulos, Gal Gadot, Ritu Arya, Ryan Reynolds",Rawson Marshall Thurber,"Netflix, Netflix basic with Ads ",,,"Flynn Picture Company, Seven Bucks Productions, Bad Version",https://www.rednoticemovie.com
After We Fell,99,English,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",2021,"Romance, Drama","based on novel or book, family history, love, teenage crush, woman director, family tension","Louise Lombard, Josephine Langford, Hero Fiennes Tiffin, Chance Perdomo, Rob Estes",Castille Landon,"Netflix, Netflix basic with Ads ",AMC on Demand ,,"Voltage Pictures, Wattpad, Vertical Entertainment, Ethea Entertainment, CalMaple Films",Unknown
Olympians at Heart,0,English,"Twins Essie and Ella are best friends who share a passion for gymnastics. When they are both up for the same event, its causes a divided, and they're faced with the challenge of competing against each other.",2021,Family,gymnastics,"Noa DiBerto, Felipe Aukai, Jake Gosden, Cailan Laine Punnewaert, Nastia Liukin",Amy Force,Hoopla ,,,,Unknown
The Immortal Wars: Rebirth,84,English,Rebirth takes place during the early brutal stages of Dominion Industries. In this story watch Olive and other deviants undergo a series of deadly experiments lead by Laurie Harvey and her team.,2021,Science Fiction,,"Destiny Salas, Corey Taylor, Julie Garcia-Briceno, Steve Delgado, Lindsey Cruz",Joe Lujan,,"Amazon Video, Vudu ","Amazon Video, Vudu ",,https://www.carcass-studios.com/
The Marksman,108,English,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",2021,"Action, Drama, Thriller","assassin, mexico, war veteran, murder, drug cartel, farmer, dead dog, road movie","Sean A. Rosales, Katheryn Winnick, Jacob Perez, Liam Neeson, Teresa Ruiz",Robert Lorenz,,"Apple TV, Amazon Video, Google Play Movies, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, Vudu, Microsoft Store ","Sculptor Media, Zero Gravity Management, Cutting Edge Group, Stonehouse Motion Pictures, Voltage Pictures",https://www.themarksmanmovie.com
Wrong Turn,110,English,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",2021,"Horror, Thriller","secret society, gore, forest, community, revenge, interracial relationship, slasher, backwoods, group of friends, mercy killing, virginia, reboot, appalachian trail, killers, abduction","Bill Sage, Adain Bradley, Dylan McTee, Charlotte Vega, Emma Dumont",Mike P. Nelson,"fuboTV, Paramount+ with Showtime, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Showtime Roku Premium Channel, Showtime, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Constantin Film, The H Collective, Tea Shop & Film Company, Lionsgate",Unknown
Evil Stepmom,85,English,"Twin sisters set up a dating profile for their dad, but the woman he meets plots to take advantage of wealthy single fathers.",2021,"Drama, Thriller, TV Movie",,"Hannah Vandenbygaart, Julia Lalonde, Randy Thomas, Emily Clarke, Tara Spencer-Nairn",Michelle Ouellet,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Tuna Waffle Productions ULC, MarVista Entertainment",Unknown
The Conjuring: The Devil Made Me Do It,111,English,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",2021,"Horror, Mystery, Thriller","supernatural, exorcism, connecticut, sequel, paranormal investigation, 1980s, religious horror, the conjuring universe","Julian Hilliard, Patrick Wilson, Ruairí O'Connor, Vera Farmiga, Sarah Catherine Hook",Michael Chaves,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","New Line Cinema, The Safran Company, Atomic Monster",http://www.theconjuringmovie.net
Jurassic World Dominion,147,English,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators ona planet they now share with history's most fearsome creatures.",2022,"Adventure, Action, Science Fiction","giant monster, sequel, dinosaur, child kidnapping, jurassic, animal sanctuary","Sam Neill, Chris Pratt, Laura Dern, Jeff Goldblum, Bryce Dallas Howard",Colin Trevorrow,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Amblin Entertainment, Universal Pictures",https://www.jurassicworld.com
Morbius,105,English,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",2022,"Action, Science Fiction, Fantasy","vampire, based on comic, duringcreditsstinger, supervillain, it's morbin time","Matt Smith, Jared Leto, Jared Harris, Al Madrigal, Adria Arjona",Daniel Espinosa,"Disney Plus, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Columbia Pictures, Matt Tolmach Productions, Arad Productions",https://www.sonypictures.com/movies/morbius
RRR,185,Telugu,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,2022,"Action, Drama, History","rescue, revolution, liberation, slavery, male friendship, freedom fighter, british empire, interracial romance, historical fiction, period drama, historical, 1920s, history of india, killed in action, war","N.T. Rama Rao Jr., Alison Doody, Ram Charan, Ray Stevenson, Olivia Morris",S. S. Rajamouli,"Netflix, Netflix basic with Ads ",,,"DVV Entertainment, Pen Studios, Lyca Productions",Unknown
The Exorcism of God,98,English,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",2022,"Horror, Crime, Drama, Fantasy","prison, small town, mexico, exorcism, possession, possessed, exorcist","Irán Castillo, Hector Kotsifakis, María Gabriela de Faría, Joseph Marcell, Will Beinbrink",Alejandro Hidalgo,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Epica Pictures INC,Unknown
Minions: The Rise of Gru,87,English,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",2022,"Animation, Comedy, Family","1970s, sequel, spin off, duringcreditsstinger, minions, gentleminions","Michelle Yeoh, Pierre Coffin, Alan Arkin, Taraji P. Henson, Steve Carell",Kyle Balda,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling ","Universal Pictures, Illumination",https://www.minionsmovie.com/
Hocus Pocus 2,107,English,"29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.",2022,"Fantasy, Comedy, Family","witch, high school, sibling relationship, halloween, resurrection, sister, sequel, zombie, salem, massachusetts, aftercreditsstinger, duringcreditsstinger","Whitney Peak, Kathy Najimy, Bette Midler, Sarah Jessica Parker, Belissa Escobedo",Anne Fletcher,Disney Plus ,,,"Walt Disney Pictures, Weimaraner Republic Pictures",https://www.disneyplus.com/movies/hocus-pocus-2/4Q5cWHlnVCun
The Menu,107,English,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",2022,"Comedy, Thriller, Horror","psychopath, obsession, mass murder, restaurant, dark comedy, revenge, food, dinner, chef, food critic, remote island, french cuisine, culinary arts, fine dining, haute cuisine","Paul Adelstein, Anya Taylor-Joy, Nicholas Hoult, Janet McTeer, Ralph Fiennes",Mark Mylod,"Hulu, Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Hyperobject Industries, Searchlight Pictures, Gary Sanchez Productions, TSG Entertainment",https://searchlightpictures.com/the-menu
Scream,114,English,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",2022,"Horror, Mystery, Thriller","mask, attempted murder, hallucination, murder, teen movie, serial killer, hospital, slasher, whodunit, killing spree, hometown, reboot, crime spree, illegitimate child, murder mystery, legacy, fandom, copycat killer, generation z, murder spree, sister sister relationship, retired cop, return to hometown, reddit, requel","Jack Quaid, Jenna Ortega, Mason Gooding, Melissa Barrera, Jasmin Savoy Brown","Matt Bettinelli-Olpin, Tyler Gillett","Hulu, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Paramount, Project X Entertainment, Radio Silence, Spyglass Media Group",https://www.paramountmovies.com/movies/scream
Babylon,189,English,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films to sound films in the late 1920s.",2022,"Drama, Comedy","elephant, gambling, gambling debt, movie business, orgy, cocaine, champagne, alcoholism, hollywood, alcoholic, filmmaking, movie star, silent film star, 1920s, old hollywood, fading star, sex","Diego Calva, Jean Smart, Flea, Brad Pitt, Margot Robbie",Damien Chazelle,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Paramount, Marc Platt Productions, Material Pictures, C2 Motion Picture Group, Wild Chickens, Organism Pictures",https://www.babylonmovie.com/
Troll,104,Norwegian,"Deep inside the mountain of Dovre, something gigantic awakens after being trapped for a thousand years. Destroying everything in its path, the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?",2022,"Fantasy, Action, Adventure","mountain, mythical creature, creature, oslo, norway, monster movie, norwegian folklore","Anneke von der Lippe, Mads Sjøgård Pettersen, Ine Marie Wilmann, Gard B. Eidsvold, Kim S. Falck-Jørgensen",Roar Uthaug,"Netflix, Netflix basic with Ads ",,,Motion Blur,https://www.netflix.com/title/81245455/
Before Night Falls,102,Indonesian,"A reporter and his cameraman investigate Nina, a young woman who is in pasung because she has a mental disorder that turns out to be something mystical.",2022,"Horror, Drama, Mystery",found footage,"Fajar K. Effendi, Annette Edoarda, Tien Kadaryono, Novia Bachmid, Jeffry Reksa",Helfi C.H. Kardit,,,,"Silent D Pictures, Helroad Films",Unknown
Thor: Love and Thunder,119,English,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",2022,"Fantasy, Action, Comedy","hero, ex-girlfriend, superhero, greek mythology, based on comic, sequel, shadow, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), heroes, norse god, god of thunder, colorless, child abduction, thor","Natalie Portman, Chris Hemsworth, Taika Waititi, Tessa Thompson, Christian Bale",Taika Waititi,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Marvel Studios, Kevin Feige Productions",https://www.marvel.com/movies/thor-love-and-thunder
Memory,114,English,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",2022,"Action, Thriller, Crime","assassin, alzheimer's disease, remake","Guy Pearce, Harold Torres, Liam Neeson, Monica Bellucci, Taj Atwal",Martin Campbell,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Black Bear Pictures, Welle Entertainment, Saville Productions, Open Road Films, Briarcliff Entertainment, STXfilms",https://www.memorymov.com/
The OctoGames,88,English,"Eight contestants compete in eight deadly, classic children's games. They seek fame beyond their wildest dreams, competing for the chance to take over the YouTube channel of the famous yet elusive masked content creator known only as ""JaxPro"".",2022,"Thriller, Action, Horror",,"Henry Haggard, Allison Shrum, Cale Adcock, Lacy Hartselle, Luv Patel",Aaron Mirtes,,"Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Exit 10 Films, LLC, High Octane Pictures",Unknown
Galaxy Games,83,English,"A group of young adults are sent to a faraway planet to compete in the prestigious Sol Invictus games. When disaster strikes and the teams are stranded without equipment or communication, they must work together to survive long enough to be rescued.",2022,Fantasy,,"Aaron Kuban, Spenser Pollard, Caleb Courtney, Jake White, Jake Brown",Ben Carland,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ",High Octane Pictures,Unknown
