Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
Kung Fu Panda 4,94,English,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",2024,"Animation, Action, Family, Comedy, Fantasy","martial arts, kung fu, china, sequel, panda, anthropomorphism, pathetic, disheartening, embarrassed, tragic","Jack Black, Dustin Hoffman, Bryan Cranston, Viola Davis, Awkwafina",Mike Mitchell,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ",DreamWorks Animation
Monkey Man,121,English,"Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.",2024,"Action, Thriller, Crime","aggressive, indian, revenge thriller, brutal violence, action thriller, night club, optimistic","Pitobash, Adithi Kalkunte, Dev Patel, Makrand Deshpande, Sikandar Kher",Dev Patel,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Thunder Road, Bron Studios, Monkeypaw Productions, Minor Realm, Creative Wealth Media Finance, WME Independent, S'YA Concept"
Damaged,98,English,"A Chicago detective travels to Scotland after an emerging serial killer’s crimes match those that he investigated five years earlier, one of which was the crime scene of his murdered girlfriend.",2024,"Action, Crime, Thriller","scotland, detective, girlfriend, murder, serial killer","Gianni Capaldi, Vincent Cassel, Kate Dickie, Samuel L. Jackson, John Hannah",Terry McDonough,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Red Sea Media, BondIt Media Capital, Tartan Bridge Films, High Five Films"
Spaceman,108,English,"During a research mission, an astronaut discovers that his marriage is in trouble. Luckily, he has the help of a mysterious creature hidden in his ship.",2024,"Science Fiction, Adventure, Drama","based on novel or book, space travel, space mission, alien, astronaut, space research, czech republic, absurd","Carey Mulligan, Paul Dano, Adam Sandler, Isabella Rossellini, Kunal Nayyar",Johan Renck,"Netflix, Netflix basic with Ads ",,,"Free Association, Tango Entertainment, Sinestra"
The Idea of You,116,English,"40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",2024,"Romance, Comedy, Music","based on novel or book, older woman younger man relationship, boy band, compassionate","Anne Hathaway, Ella Rubin, Nicholas Galitzine, Annie Mumolo, Reid Scott",Michael Showalter,,,,"Welle Entertainment, Somewhere Pictures, I’ll Have Another, Amazon MGM Studios"
Tarot,92,English,"When a group of friends recklessly violates the sacred rule of Tarot readings they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",2024,"Horror, Thriller","group of friends, supernatural horror","Jacob Batalon, Avantika Vandanapu, Alana Boden, Harriet Slater, Adain Bradley","Spenser Cohen, Anna Halberg",,,,"Screen Gems, Alloy Entertainment, Ground Control Entertainment, Capstone Pictures"
Challengers,132,English,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",2024,"Drama, Romance","hotel room, infidelity, husband wife relationship, love triangle, sports, tennis, competition, tennis racket, eroticism, sauna, tennis player, rivalry, interracial marriage, polyamory, tennis court, ex-boyfriend ex-girlfriend relationship, tennis ball, knee injury, prodigy, tennis pro, 2000s, 2010s, lgbt interest, female coach, psychosexual, gay kiss, sports drama, power dynamics, ex friend, new york, audacious, euphoric","Josh O'Connor, Bryan Doo, Zendaya, Darnell Appling, Mike Faist",Luca Guadagnino,,,,"Pascal Pictures, Why Are You Acting? Productions, Frenesy Film, Metro-Goldwyn-Mayer"
Sixty Minutes,89,German,"Desperate to keep custody of his daughter, a mixed martial arts fighter abandons a big match and races across Berlin to attend her birthday party.",2024,Action,None,"Marie Mouroum, Florian Schmidtke, Dennis Mojen, Paul Wollin, Emilio Sakraya",Oliver Kienle,"Netflix, Netflix basic with Ads ",,,"Nocturna Productions, Wiedemann & Berg Television"
Breathe,93,English,"Air-supply is scarce in the near future, forcing a mother and daughter to fight for survival when two strangers arrive desperate for an oxygenated haven.",2024,"Science Fiction, Mystery, Thriller",None,"Common, Sam Worthington, Milla Jovovich, Quvenzhané Wallis, Jennifer Hudson",Stefon Bristol,,"Apple TV, Amazon Video, YouTube ","Apple TV, Amazon Video, YouTube ","Thunder Road, Capstone Studios, Streamline Global"
Damsel,110,English,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,2024,"Fantasy, Action, Adventure","princess, fire, chase, kingdom, sword, mountain, revenge, knight, dragon, hero's journey, admiring, fairytale","Nick Robinson, Millie Bobby Brown, Ray Winstone, Brooke Carter, Angela Bassett",Juan Carlos Fresnadillo,"Netflix, Netflix basic with Ads ",,,"PCMA Productions, Roth-Kirschenbaum Films"
